Time (s),Signal Value
3.92,272.42939528576215
3.93,256.05189726943684
3.94,243.75150781430705
3.95,238.39328003021004
3.96,235.12329990643724
3.97,225.02194517099014
3.98,214.59044459706593
3.99,224.24958969189163
4.00,246.6922426040731
4.01,280.35248805094324
4.02,282.60440773925643
4.03,273.20022274954533
4.04,268.05447708433644
4.05,265.5327514445332
4.06,259.75537678549074
4.07,239.88553447654948
4.08,227.39178929139976
4.09,223.50093065851024
4.10,241.3323783280982
4.11,262.5436039152037
4.12,261.9294100890111
4.13,252.20548131954402
4.14,238.9886883712743
4.15,239.09501854411516
4.16,242.0303748243565
4.17,236.09100727789888
4.18,230.86673046407185
4.19,238.42270493937045
4.20,265.73165537025767
4.21,282.95350750313503
4.22,288.81289001631046
4.23,274.2108277130693
4.24,254.1144280339366
4.25,253.43535872197606
4.26,240.11169480473652
4.27,229.46714260494514
4.28,211.2520835951118
4.29,211.9089840559176
4.30,233.6222079921126
4.31,263.3880354355958
4.32,268.0243211427205
4.33,259.0603076055714
4.34,254.97975105458414
4.35,256.4317054796905
4.36,256.14764744744804
4.37,250.37208626695153
4.38,239.7096688842542
4.39,240.39578276116075
4.40,284.8064084133123
4.41,337.2264360735158
4.42,329.0509485936731
4.43,270.32727251634105
4.44,231.10119197155694
4.45,214.76445866440574
4.46,186.63553656919822
4.47,170.98621975413823
4.48,122.49349208662709
4.49,158.44527904608947
4.50,245.49412803450778
4.51,335.58100397158137
4.52,382.51989458354296
4.53,346.1800730971505
4.54,309.5197330660943
4.55,288.3980921547133
4.56,275.24009688526
4.57,214.55238120665427
4.58,169.4009748519186
4.59,167.41156910654092
4.60,220.60730823451678
4.61,297.5885053300177
4.62,299.4905686250145
4.63,245.40737239369622
4.64,208.4232349895908
4.65,226.15338472863158
4.66,241.3606733881838
4.67,203.25178136060262
4.68,187.34877061001708
4.69,216.51304030850977
4.70,304.7601481778062
4.71,370.5162512187192
4.72,327.1388010104953
4.73,291.3680477055994
4.74,254.46304891963024
4.75,249.50056353344414
4.76,246.513289400492
4.77,229.21682764279836
4.78,215.1099222349458
4.79,218.09288454154785
4.80,238.9742575743892
4.81,258.1620392360591
4.82,265.44928256849965
4.83,260.150449697604
4.84,252.94679481900425
4.85,258.49341399197266
4.86,258.32596532187574
4.87,250.3802093184866
4.88,242.08203991576474
4.89,242.20770529788757
4.90,254.52176741335222
4.91,274.71784396579466
4.92,272.8052988390762
4.93,258.2779831267526
4.94,241.99140474985765
4.95,237.83929713791193
4.96,233.6902370392071
4.97,225.96143338456946
4.98,219.67465634615942
4.99,228.70112849106934
5.00,247.35682542629928
5.01,270.8331843744492
5.02,277.8206537623986
5.03,269.6963362464292
5.04,264.0340466717435
5.05,259.42285974673484
